Name,Address,Phone,Email,Website,Year_Established,Registration_VAT,Employees,Manager,Category,Description,Map_Location,Photos_Gallery,Image
Macmed Integrated Farms,"1, Gani Street, Ijegun Imore. Satellite Town, Lagos, Lagos, Nigeria",+234 803 331 6905,,,2013.0,,,,Agriculture,Sustainable farming and livestock solutions with comprehensive planning services.,,,agriculture.png
Aerologistics and Travels Ltd,"Suite C247 Ikota Business Complex, Lagos, Lagos, Nigeria",+234 4 610300,,,2006.0,,,,Travel,"Global travel solutions: tickets, tours, logistics, training services.",,,travel.png
Jacio International Company Ltd,"Zone B, Block 9, Shop 15, Aspamda Trade Fair Complex Lagos, Nigeria",08185587222,,,2008.0,,,,Services,Distributors of premium automotive products in Nigeria.,,,services.png
Maldini Granites and Marble Imports Limited,"41A Alhaji Tokan street, Alaka Estate, Surulere, Lagos, Lagos, Nigeria",+234 803 307 9719,,,1997.0,,,,RealEstate,"Quality granite and marble slabs, nationwide distribution in Nigeria.",,,real_estate.png
COHBS International,"14, Fadeyi Aladura Street, Off Awolowo Way, Ikeja Lagos Nigeria",08170417114,,,2017.0,,,,Services,Your trusted source for chemical materials and supplies.,,,services.png
Auto Auction Mall,"268, Herbert Macaulay Way, Alagomeji, Yaba, Lagos, Lagos, Nigeria",+234 901 536 2533,,,2016.0,,,,Services,Access U.S. dealer auctions for affordable vehicles made easy.,,,services.png
Royal Xtasy Spa,"House 17, Transit Village, Adetokunbo Ademola Street, Victoria Island , Lagos, Lagos, Nigeria",+234 904 309 4708,,,2021.0,,,,Services,"24-hour massage and wellness spa in Lagos, Nigeria.",,,services.png
CompareForexBrokers.ng,"196B Awolowo Rd, Lagos, Nigeria",+234 811 502 8665,,,2023.0,,,,Services,Your trusted guide for comparing Forex and CFDs brokers.,,,services.png
Favoured Pearls School,"4, Dapo Adeoye Street, Off Deeper Life Church, Soluyi, Gbagada, Lagos, Abia, Nigeria",+234 803 553 4097,,,,,,,Education,Nurturing young minds with quality education and care.,,,education.png
EB World,"497, Ikorodu Road, Ile-Ile Bus Stop, Ketu, Lagos, Lagos, Nigeria",+234 703 007 0996,,,2018.0,,,,RealEstate,Power tools and accessories for every building project.,,,real_estate.png
Green Valley Agro Ltd,"23, Farm Settlement Road, Ikorodu, Lagos, Nigeria",+234 802 445 7890,,,2015.0,,,,Agriculture,"Organic farming, poultry and fishery solutions for sustainable agriculture.",,,agriculture.png
Swift Travels Agency,"12B, Allen Avenue, Ikeja, Lagos, Nigeria",+234 809 123 4567,,,2010.0,,,,Travel,"Affordable flight bookings, visa assistance, and travel packages.",,,travel.png
TopTech Solutions,"456, Herbert Macaulay Way, Yaba, Lagos, Nigeria",+234 813 987 6543,,,2019.0,,,,Services,"IT consulting, software development, and digital transformation services.",,,services.png
Prime Properties Ltd,"78, Admiralty Way, Lekki Phase 1, Lagos, Nigeria",+234 806 543 2109,,,2012.0,,,,RealEstate,"Luxury real estate sales, rentals, and property management in Lagos.",,,real_estate.png
EduCare Academy,"5, Church Street, Surulere, Lagos, Nigeria",+234 805 234 5678,,,2008.0,,,,Education,"Quality primary and secondary education with modern facilities.",,,education.png
FreshFarms Nigeria,"Plot 45, Agric Settlement, Ikorodu, Lagos, Nigeria",+234 807 654 3210,,,2014.0,,,,Agriculture,"Fresh produce supplier, vegetable farming, and agricultural consulting.",,,agriculture.png
SkyHigh Logistics,"89, Apapa-Oshodi Expressway, Lagos, Nigeria",+234 808 765 4321,,,2017.0,,,,Travel,"Freight forwarding, cargo services, and international shipping solutions.",,,travel.png
MaxPro Engineering,"34, Industrial Estate, Ikeja, Lagos, Nigeria",+234 810 876 5432,,,2011.0,,,,Services,"Mechanical engineering, fabrication, and industrial maintenance services.",,,services.png
Urban Homes,"15, Fola Osibo Street, Lekki Phase 1, Lagos, Nigeria",+234 812 345 6789,,,2016.0,,,,RealEstate,"Affordable housing development and real estate investment opportunities.",,,real_estate.png
Bright Stars School,"22, College Road, Ogba, Lagos, Nigeria",+234 814 456 7890,,,2009.0,,,,Education,"Nursery and primary school with focus on academic excellence.",,,education.png
AgriTech Ventures,"67, Lagos-Ibadan Expressway, Lagos, Nigeria",+234 815 567 8901,,,2018.0,,,,Agriculture,"Agricultural technology, smart farming solutions, and crop management.",,,agriculture.png
